Company,Category,Queue Number,# Judges,# Matching,# Fill-In,Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Judge 8,Judge 9,Judge 10,Judge 11,Judge 12
Bridging the Gap for Women - Level Up with the Entrepreneur Residency ,Advanced Materials,129,10,10,0,Raegen Siegfried,Benjamin Saydah,Neil Kane,Pete Effler,Mark Roche,Paul Coletti,Mieczyslaw Jodziewicz,Mike Ferrigno,James Pink,Mark Jevahirian
Bedrock Oyster,Agriculture,57,11,11,0,Robert Fulton,Dhiraj Mehra,Benjamin Saydah,Mike Delany,Ray Vanek,Craig Anderson,Michael Jennings,Ed Daniels,Craig Chval,Julie Rotolo,Jim Davis
Chameleon Foods,Agriculture,64,11,11,0,Robert Fulton,Dhiraj Mehra,Mike Delany,Benjamin Saydah,Ray Vanek,Craig Anderson,Andreas Widmer,Michael Jennings,Philip McBride,Julie Rotolo,Jim Davis
Cleva,Agriculture,78,11,11,0,Robert Fulton,Mike Delany,Dhiraj Mehra,Ray Vanek,Benjamin Saydah,Craig Anderson,Michael Jennings,Philip McBride,Ed Daniels,Julie Rotolo,Justin Obletz
SetaTech,Agriculture,89,11,11,0,Robert Fulton,Ray Vanek,Mike Delany,Benjamin Saydah,Michael Jennings,Craig Anderson,Andreas Widmer,Craig Chval,Ed Daniels,Julie Rotolo,Francis Williams
Shipshape Urban Farms,Agriculture,103,11,11,0,Robert Fulton,Ray Vanek,Mike Delany,Dhiraj Mehra,Benjamin Saydah,Michael Jennings,Andreas Widmer,Craig Chval,Ed Daniels,Julie Rotolo,Sean Murdock
SoftSea,Agriculture,116,11,10,1,Robert Fulton,Benjamin Saydah,Ray Vanek,Dhiraj Mehra,Mike Delany,Michael Jennings,Andreas Widmer,Craig Chval,Ed Daniels,Julie Rotolo,Jason Sloan - Fill-in
Trellis,Agriculture,126,10,10,0,Robert Fulton,Ray Vanek,Benjamin Saydah,Dhiraj Mehra,Michael Jennings,Andreas Widmer,Ed Daniels,Craig Chval,Julie Rotolo,Tyler Hudson-Crimi
CampuSKey,B2B Digital/SaaS,28,11,11,0,Brian Davis,Rafeal Reyes,Nicolas Schaettel,Christopher Blum,Pete Effler,Brian Cho,Mark Dixon,Chris Orenchuk,Joshua Francis,Bob Jank,Justin Obletz
Church Property Management,B2B Digital/SaaS,31,11,11,0,Phil Calandra,Steve Roe,Larry Augustin,Pete Effler,Misha Shemyakin,Brian Cho,Rahul Miglani,Peter Rienks,Ted Kubala,Bob Jank,Justin Obletz
Electus Global Education Company,B2B Digital/SaaS,34,11,11,0,Brian Davis,Scott Berg,Steve Roe,Christopher Blum,Brian Cho,Peter Rienks,William O'Brien,John Gaither,Philip McBride,Ted Kubala,Justin Obletz
Flexwork,B2B Digital/SaaS,37,11,11,0,Phil Calandra,Daniela Tomas,Steve Roe,Eric Meyers,Misha Shemyakin,Michael Seiler,Joe Shonkwiler,Mark Roche,Ed Daniels,Bob Jank,Justin Obletz
GoFix,B2B Digital/SaaS,40,11,11,0,Brian Davis,Maryann Wolff,Rafeal Reyes,Christopher Blum,Theron Sarda,Mark Dixon,Eric Kullberg,William Harlan,Alyssa Jank,Bob Jank,Matt VanderGoot
GuidED,B2B Digital/SaaS,43,11,11,0,Brian Davis,Scott Voulgaris,Rafeal Reyes,Tim Kish,Christopher Blum,Mark Roche,Rita Zinn,John Gaither,Jay Breeden,Ted Kubala,Francis Williams
"KINGA SAFETY, INC",B2B Digital/SaaS,44,11,11,0,Brian Davis,Tom Keuten,Rafeal Reyes,Mike Scrudato,Misha Shemyakin,Kristopher Priemer,Will Alverson,John Gaither,Joshua Francis,Daniel Morden,Francis Williams
Lagom,B2B Digital/SaaS,47,11,11,0,Brian Davis,Rafeal Reyes,Larry Augustin,Tim Kish,Christopher Blum,Michael Seiler,William Harlan,John Gaither,Philip McBride,Daniel Morden,Francis Williams
